,sa12018_v1,lat,lon
0,7015132,176.75903509625869,-37.89115121659102
1,7015126,176.70621227414082,-37.905244299830166
2,7015129,176.75640736251935,-37.88900365605456
3,7015130,176.75372910385033,-37.88981564210559
4,7015133,176.76054965873837,-37.89309864977979
5,7015135,176.78986344668286,-37.973062263856846
6,7015134,176.78051353045015,-37.920476869122986
7,7015127,176.74523834372155,-37.94202685544249
8,7015131,176.7612398035481,-37.9663418327229
9,7015136,176.81057675687632,-37.98702858051155
10,7015138,176.81860602077785,-37.951743855549246
11,7015167,176.75226109725824,-37.99917086629833
12,7015171,176.77631641952672,-37.99999101271224
13,7015143,176.87789251543398,-38.011566472481
14,7015139,176.8400494692783,-37.99713796845949
15,7015123,176.635558485846,-37.95939507154094
16,7015144,176.89112910269347,-37.987575323401224
17,7015146,176.90735713480095,-37.984868596058604
18,7015148,176.93301292752125,-37.99074244896674
19,7015141,176.85375549740078,-37.95808737391213
20,7015142,176.87419349018367,-37.97858625707033
21,7015149,176.9321174909887,-38.022969595854704
22,7015193,176.83943466128395,-38.04102748101251
23,7015325,176.9063029617971,-38.08377614667025
24,7015150,176.93630098416673,-37.9654524145798
25,7015151,176.95304811002498,-37.97173194586997
26,7015188,176.8259735083317,-37.98279562781499
27,7015145,176.89856287453804,-37.949424455759036
28,7015187,176.825880268989,-37.97894472707521
29,7015154,176.94594155677783,-37.95480015705814
30,7015174,176.79162226556753,-38.03525574400577
31,7015170,176.77531337904205,-38.02213708533992
32,7015172,176.7826107859904,-38.07507189902634
33,7015173,176.79637175621747,-38.02747756650089
34,7015175,176.79667513566238,-38.036086876460566
35,7015189,176.82898106452336,-37.982755050541314
36,7015354,176.6763553234031,-38.09077189619254
37,7015125,176.69218763135086,-38.01053637013479
38,7015164,176.66929391454565,-38.06543567413759
39,7015355,176.6766905951184,-38.09501197551552
40,7015356,176.66881900527778,-38.09782110656503
41,7015360,176.6816256684806,-38.08965818515551
42,7015362,176.67850813362793,-38.09388138203542
43,7015124,176.6892083766107,-37.969176238944485
44,7015128,176.7478462079756,-37.885036387066435
45,7015165,176.74086331467004,-38.046444598093586
46,7015185,176.82444960146498,-37.97328474010999
47,7015166,176.74194019167888,-38.07762286909924
48,7015169,176.752918729274,-38.03493559702758
49,7015168,176.74394580579818,-38.02204310124317
50,7015401,176.73346586943845,-38.06777189895736
51,7015181,176.82530819419864,-37.970223120669544
52,7015399,176.71731235916917,-38.07231142945666
53,7015184,176.8277120366805,-37.97262357503442
54,7015180,176.82779397967323,-37.967328830222066
55,7015177,176.80292319778658,-38.01078148008484
56,7015182,176.82489085336707,-37.971151530184976
57,7015183,176.82331360798887,-37.97163023199331
58,7015186,176.82770172824112,-37.976011136868564
59,7015191,176.83433216002194,-37.96283820720977
60,7015192,176.8319895770698,-37.97725910861676
61,7015190,176.823235691268,-38.0167045603898
62,7015137,176.8191082739279,-37.913705406084425
63,7015140,176.8537478714785,-37.915469737479285
64,7015357,176.67522186348492,-38.098309967493456
65,7015147,176.90819968718174,-37.92468519106024
66,7015153,176.95033108063228,-37.94166300605272
67,7015359,176.68629718126735,-38.08884139563758
68,7015152,176.95257176272614,-37.930260559618056
69,7015358,176.68613633636625,-38.08579804999494
70,7015361,176.68400007416767,-38.09309381894436
71,7015363,176.67939790084301,-38.09496116483721
72,7015364,176.6884058424227,-38.09711958308161
73,7015365,176.69457062058797,-38.07968499973817
74,7015366,176.69275192489252,-38.08507177528113
75,7015380,176.70318538701514,-38.089251592908916
76,7015381,176.70538009682673,-38.09038539712739
77,7015367,176.68859589841915,-38.085677367299496
78,7015368,176.69601385405582,-38.0857238159262
79,7015369,176.6902829476245,-38.08898170080309
80,7015370,176.69657040397212,-38.092742533252824
81,7015374,176.69976927382027,-38.09994616519127
82,7015371,176.69064791435207,-38.093131937513526
83,7015372,176.69212884474118,-38.100319152693814
84,7015373,176.69913905751486,-38.08622496724023
85,7015377,176.7040744768336,-38.08500682523867
86,7015378,176.7019104251647,-38.08602436968542
87,7015379,176.70462109984592,-38.087679030703455
88,7015375,176.69555564270982,-38.10631320933134
89,7015376,176.71088463749317,-38.08276634815017
90,7015382,176.70189664216196,-38.09136859436326
91,7015383,176.70437525701857,-38.093276856469274
92,7015384,176.7024838310557,-38.09405972906645
93,7015385,176.70204098123443,-38.09523979646622
94,7015386,176.70032130787882,-38.09627100626264
95,7015387,176.70530937820342,-38.09778306370831
96,7015388,176.7035299197287,-38.098680127416245
97,7015389,176.70190244838702,-38.10252638810355
98,7015390,176.70902537518523,-38.08034454781386
99,7015391,176.70770792623958,-38.081016153917
100,7015392,176.70644946790676,-38.08207587754319
101,7015393,176.70948750779695,-38.08345114602744
102,7015394,176.70701592331818,-38.08448756749572
103,7015395,176.70677602952517,-38.08674347900621
104,7015396,176.70705001509873,-38.08832613685067
105,7015397,176.70765513883416,-38.090897065479595
106,7015398,176.707333248399,-38.09381545038273
107,7015400,176.71181279275794,-38.089359939830885
108,7015179,176.82190329991423,-38.043689709694846
109,7015178,176.8045996658402,-38.042856554431715
110,7015176,176.801656431222,-38.097308288465904
